Clause Number,Clause Title,Status,Impact,Key Points,Remarks
1,Scope,Not Covered,High,,"The scope of the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
2,Duration,Not Covered,High,,"The duration of the project is not clearly defined, which may lead to delays and cost overruns."
3,Deliverables,Not Covered,High,,"The deliverables of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
4,Location / Geographical Scope,Not Covered,Medium,,"The geographical scope of the project is not clearly defined, which may lead to logistical challenges."
5,Timelines,Not Covered,High,,"The project timelines are not clearly defined, which may lead to delays and cost overruns."
6,Technical Architecture,Not Covered,High,,"The technical architecture of the project is not clearly defined, which may lead to technical issues and cost overruns."
7,Scope Assumptions and Exclusions,Not Covered,High,,"The scope assumptions and exclusions of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
8,Service Level Agreements (SLAs),Not Covered,High,,"The service level agreements of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
9,"Project Structure, Roles and Responsibilities",Not Covered,High,,"The project structure, roles, and responsibilities are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
10,Handling Changes to Baseline,Not Covered,High,,"The process for handling changes to the baseline is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
11,Commercial Model,Not Covered,High,,"The commercial model of the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
12,Billing Model,Not Covered,High,,"The billing model of the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
13,Overhead Expenses,Not Covered,Medium,,"The process for managing vendor out-of-pocket expenses is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
14,Incentives / Disincentives,Not Covered,High,,"The incentives and disincentives of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
15,Procurement and Licensing Model,Not Covered,High,,"The procurement and licensing model of the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
16,Operations Model,Not Covered,High,,"The operations model of the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
17,Acceptance Criteria,Not Covered,High,,"The acceptance criteria of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
18,Performance Criteria,Not Covered,High,,"The performance criteria of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
19,Discretionary Hours / Development Effort,Not Covered,Medium,,"The process for managing discretionary hours is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
20,Minimum Skill Set,Not Covered,High,,"The minimum skill set required for the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
21,Resource Deployment / Replacement Guidelines,Not Covered,High,,"The resource deployment and replacement guidelines of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
22,Subcontracting / Consortium Guidelines,Not Covered,High,,"The subcontracting guidelines of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
23,Handholding Support (Post Go-Live),Not Covered,High,,"The handholding support period of the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
24,Ongoing Operations Support,Not Covered,High,,"The ongoing operations support of the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
25,Technical SOPs and Training to Ops Team,Not Covered,High,,"The technical SOPs and training to the ops team of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
26,Training and Awareness of End Users,Not Covered,High,,"The training and awareness of end users of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
27,Intellectual Property and Source Code Ownership,Not Covered,High,,"The intellectual property and source code ownership of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
28,Requirements / Support from Client,Not Covered,High,,"The requirements and support from the client of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
29,Governance and Reporting,Not Covered,High,,"The governance and reporting process of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
30,Contract Exit Mechanism,Not Covered,High,,"The contract exit mechanism of the project is not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
31,Payment Terms,Not Covered,High,,"The payment terms of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
32,Non-Functional Requirements,Not Covered,High,,"The non-functional requirements of the project are not clearly defined, which may lead to misunderstandings and miscommunication between the parties involved."
